Boa tarde	Saudação	201
Sim so uns instat	Outros	201
Maylane posso usar o computador	Dúvida	201
ok	Outros	201
Ver Tbm o sistema do sngpc	Outros	201
Agente não conseguido acessar o arquivo pra fazer a transmissão	Problema	201
Sim	Outros	201
Vc falar so cupom fiscal	Outros	201
Qualquer dúvida me avise	Outros	201
O comprovante de farmácia popular	Outros	201
Saiu diferente o comprovante	Dúvida	201
Qro saber se. Agora é assim msm	Dúvida	201
Bom dia	Saudação	202
O sistema de farmácia popular está fora do ar?	Dúvida	202
Sabe me informar?	Dúvida	202
Aqui não tá funcionando	Problema	202
Fibra	Outros	202
Agente tem da oi Tbm, mas ela não tá configurada nesse computador	Outros	202
Nova WiFi	Outros	202
servidor	Outros	202
nas oq pode ser.	Dúvida	202
Esse bloqueio	Outros	202
Tenho	Outros	202
O Vinicius falou que pra coloca essa maquina Tbm com cupom fiscal.	Outros	202
Pq as vzs um computador não dar atender	Problema	202
O pessoal farmácia popular	Outros	202
E demais	Outros	202
Pra colocar igual o outro computador	Outros	202
Ver aí se a Internet é da oi	Dúvida	202
Realmente	Outros	202
Perai	Outros	202
mas pq tiraro	Dúvida	202
Se já tinha	Dúvida	202
Pq táva funcionando	Outros	202
Com o nfce	Outros	202
Mas era nfce fiscal	Outros	202
Aí alguém mexeu e tirou	Problema	202
E ficou so no servidor	Problema	202
Mas era nos dois	Outros	202
Ata	Outros	202
Desculpa	Outros	202
Seguinte falei com o Vinicius ele falou que pagou pra usar as duas maquinas com ncfe	Outros	202
Já tentei fala com ele	Outros	202
Mas não tô conseguindo	Problema	202
Pós veja se consegue colocar o nfce fiscal logo	Outros	202
Vou trocar aqui o roteador pro MSm do servidor	Outros	202
Troquei o cabo	Outros	202
tá no mesmo roteador	Outros	202
já funcionando nfce?	Dúvida	202
Travado pra mim aqui	Problema	202
Ainda tá do msm jeito ainda	Outros	202
Pra impressão fiscal	Outros	202
No servidor deu certo, a venda da popular	Outros	202
Ele vão fica como outro	Outros	202
Alternativo e fiscal	Outros	202
pode. Fica com a opcao nota fiscal	Outros	202
Parece tá	Outros	202
Obrigado	Outros	202
Bom dia	Saudação	202
Bom dia	Saudação	203
o sistema da farmácia popular tá fora do ar	Problema	203
REINALDO MANDA AI A LISTA	Outros	203
MAS ELA NAO FALA	Outros	203
OS MEDICAMENTOS QUE SAIRAM DO PROGRAMA	Outros	203
TA BOM	Outros	203
Chamada de voz perdida	Outros	203
Quero que você configure o meu sistema	Outros	203
agente teve que trocar o roteador aí devido isso o id alterou	Problema	203
A Internet tá muito fraca	Outros	203
Tenta de novo	Outros	203
Vc pode me ajudar em uma venda no portal da drogaria (treinamento)	Dúvida	203
Mas uma vez	Dúvida	203
Agente ver amanhã	Outros	203
Isso	Outros	203
o sistema da farmácia popular tá fora do ar	Problema	204
Tá bom	Problema	204
Bom dia	Saudação	205
Ei	Saudação	206
Vc pode me. A tende	Dúvida	206
A respeito de XML q o Vinicius	Outros	206
Falou com Reinaldo	Outros	206
Mas pq não entraram em contato antes	Dúvida	206
Pra fazer isso logo	Dúvida	206
Tendo	Outros	206
blz	Outros	206
11:30	Outros	206
pode ser?	Dúvida	206
blz	Outros	206
Ok bom dia	Saudação	207
Maylana tem alguma máquina pronta já	Dúvida	207
ok	Outros	207
Bom dia	Saudação	209
Favor com respeito as alteracoes de preco do Farmacia popular	Outros	209
Vc tem com com atualizar ou somos nos	Dúvida	209
Estou em Sao Paulo	Outros	209
Tudo bem. Obrigado	Outros	209
Apareceu esta msg	Outros	209
Id 925895287	Outros	210
senha 7713	Outros	210
Bom dia	Saudação	211
Vinicius solicitou um reparo	Outros	211
No sistema	Outros	211
Pediu pra passar o team	Outros	211
Boa tarde	Saudação	212
Quero ajudar pra fazer uma venda no portal da drogaria	Outros	212
Só que tinha ser agora	Outros	212
Tô com o cliente esperando	Outros	212
Oi	Outros	212
Quando finalizar a venda sair 2 cupons pequenos	Outros	212
Algum pro cliente	Dúvida	212
Bom dia	Saudação	213
José drogaria mais saúde	Outros	213
Tô um erro aqui no sistema	Problema	213
Já abrir no terminal	Outros	213
Deu o MSm erro	Problema	213
Abri em outro computador	Outros	213
Parece	Outros	213
Quero que você configure	Outros	214
Meu sistema	Outros	214
A Internet tá muito fraca	Outros	214
Tenta de novo	Outros	214
Vinicius solicitou um reparo	Outros	215
No sistema	Outros	215
Pediu pra passar o team	Outros	215
Boa tarde	Saudação	215
Quero ajudar pra fazer uma venda no portal da drogaria	Outros	216
Por favor	Outros	216
Só que tinha ser agora	Outros	216
Tô com o cliente esperando	Outros	216
Quando finalizar a venda sair 2 cupons pequenos.	Outros	216
Algum pro cliente	Outros	216
Bom dia	Saudação	217
José drogaria mais saúde	Outros	217
Tô um erro aqui no sistema	Outros	217
Já abrir no terminal	Outros	217
Deu o MSm erro	Problema	217
Abri em outro computador	Outros	217
Parece	Outros	217
Bom dia	Saudação	218
Tô com um problema no sistema	Problema	218
sistema não finalizou a venda	Problema	218
Mensagem de erro	Problema	218
E não tá emitindo nota fiscal	Problema	218
Tõ com problemas aqui no sistema	Outros  	218
Não finalizar	Problema	218
ele não passou no terminal só no servidor	Problema	218
Não obrigado	Outros	218
Opa bom dia.	Saudação	219
Amanhã eu quito esse débito meu amigo.	Outros	219
Muito obrigado.	Outros	219
não fiz o depósito	Outros	220
vou fazer já ja	Outros	220
mande o valor	Outros	220
muita chuva e sem sistema	Problema	220
na sexta-feira	Outros	220
Boa tarde	Saudação	221
No meu sistema sumiu todo meu estoque	Problema	221
Todo o estoque está zerado	Problema	221
Esses aí é que eu fui colocando pq tudo que dei entrada e foi digitado não está	Problema	221
E esses aí é da mercadoria que chegou a 2 dias atrás	Outros	221
Ontem quando fui fazer venda pela manhã	Outros	221
ok	Outros	221
Estou com problemas no caixa principal. Não está totalizando o cupom	Saudação	222
Estou com problemas no caixa principal. Não está totalizando o cupom	Problema	222
Aguarde um pouco. Só finalizar uma venda na pré-venda.	Outros	222
Já lhe passo	Outros	222
pronto	Outros	222
Obrigado	Outros	222
bom dia	Saudação	223
acho que termos que alterar os preços	Outros	223
pq não está dando certo as vendas	Problema	223
acho que termos que alterar	Outros	223
pois é mais eu não fazer	Outros	223
qual valores	Dúvida	223
vc pode me ligar pra fazer	Outros	223
pode me ligar pra fazer	Outros	223
pra segunda-feira	Outros	224
pq hoje nãovotem como	Problema	224
bote pra amanhã	Outros	225
bom dia	Saudação	226
enviou	Outros	226
vou ja imprimir	Outros	226
bom dia	Saudação	227
mande o valor	Outros	227
que vou fazer o depósito	Outros	227
mais tarde lhe mando o comprovante	Outros	227
ok	Outros	228
estou um problema quando depois das oito me ligue	Problema	229
tá aí pagamento	Outros	229
é tá dando pendências	Problema	229
pra amanhã	Outros	230
blz	Outros	231
mande no email	Outros	232
Bom dia	Saudação	233
Estou aguardando um chamado	Outros	234
Emitir nota	Problema	235
Preciso saber se pra emitir a nota fiscal de uma pessoa que não tem cadastro preciso cadastrar como se fosse cliente?	Dúvida	235
Era essa a dúvida	Outros	235
Já resolvi	Outros	235
Estão todos aqui separados em sistema	Outros	236
tenho todos digitalizadas	Outros	236
então está com problemas	Problema	236
Não imprimiu	Problema	236
Não deu certo	Problema	236
Não travou mais qualquer coisa eu ligo	Outros	236
bom dia	Saudação	237
mande o valor	Outros	237
Vou fazer o depósito	Outros	237
Não fiz o depósito ontem mas vou fazer agora	Problema	238
Pode ser esse valor me mande aí que vou faezr agora	Outros	238
Já lhe mando os comprovante	Outros	238
mande alguem me lihgar	Outros	238
estou viajando chego amanhã quando eu chegar aviso pra vc me mandar o valor pra eu depositar	Outros	240
mande o valor voju fazer o deposito	Outros	241
mais tarde lhe mando o comprovante	Outros	241
eu tive que viajar não deu amanha faco o deposito	Outros	242
Boa tarde	Saudação	243
ainda não pq aqui só tem banco do Brasil nos Correios	Outros	243
faça o seguinte mande o boleto pra amanhã	Outros	243
pode ser pq	Outros	243
ainda não cheguei ta bom	Outros	243
preciso transferir emissor de NF de um computador para outro.	Problema	244
boleto mande	Outros	245
mande o valor pra mim fazer a transferência	Outros	246
depois me ligue estou com problema no sistema	Problema	246
na de imprimi o cupom não tá dando certo	Problema	246
é ta sem estoque farmácia popular	Problema	246
celular posso ligar	Outros	246
Bom dia 	Saudação	247
amanhã ok	Outros	247
não estou na quando eu chegar eu vejo	Outros	248
Não deu pq faltou energia vou fazer o deposito	Outros	249
não deu ontem mas vou fazer hoje pode ser o mesmo valor	Outros	250
Depositar	Outros	250
bom dia 	Saudação	251
Não estou conseguindo imprimir um cupom fiscal	Problema	251
era um problema no sistema da drogaria	Outros	251
não sei como olhar a transação não	Problema	251
		
		
		
